ad,sektor,tip,takipci,etkilesim,platform,aciklama
Hayaleturk,Teknoloji,🟢 4. NANO INFLUENCER (1K – 10K),1607,8.4,Instagram,Gamer ekipmanlari setup kisisellestirme ve niş teknolojik aksesuarlar ureticisi.
Yazılım Karavanı,Teknoloji,🟢 4. NANO INFLUENCER (1K – 10K),9500,10.2,Instagram,Yazilima yeni baslayanlar icin ipuclari kodlama tavsiyeleri ve yol haritalari.
Melisa’nın Dünyası,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),1200,9.3,Instagram,Kisisel gunluk ozenli yasam tarzi kesitleri ve mini estetik vloglar.
Busemyblog,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),903,9.8,Instagram,Genc yasam tarzi okul rutinleri ve TikTok uzerinde de aktif kisisel blog hesabi.
Kübra Alparslan,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),1361,8.9,Instagram,Eglenceli gunluk yasam trendleri arkadas sohbetleri ve TikTok paylasimlari.
Gökçe Aybala,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),8570,9.4,Instagram,Estetik yasam tarzi seyahat rotalari ve TikTok uzerinde yuksek bagliliga sahip uretici.
Merve Deniyor,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),6388,10.1,Instagram,Yeni urun ve mekan deneyimleri samimi test videolari ve TikTok icerik yuzu.
İrem Yıldırım,Kozmetik,🟢 4. NANO INFLUENCER (1K – 10K),672,8.7,Instagram,Cilt bakimi favorileri pratik sac bakim rutinleri ve kozmetik urun incelemeleri.
Makeupbyseymayilmaz,Kozmetik,🟢 4. NANO INFLUENCER (1K – 10K),4400,9.0,Instagram,Gelin makyaji teknikleri gunluk dogal guzellik sirlari ve urun tavsiyeleri.
Ceylin İlter (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),3910,11.2,Instagram,BookTok toplulugunda kitap elestirileri okuma maratonlari ve edebi icerikler ureticisi.
Auna Lovrein (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),3905,10.9,Instagram,BookTok paylasimlari dunya klasikleri incelemeleri ve estetik kitaplik duzenleri.
Su Akar (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),1960,9.5,Instagram,Populer kitap elestirileri altini cizdigi satirlar ve BookTok okur gunlugu.
Kubookss (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),2275,10.4,Instagram,Fantastik roman incelemeleri kitap alisverisi vloglari ve BookTok topluluk uyesi.
Ecem (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),2088,9.7,Instagram,Aylik okuma listeleri kitap tavsiyeleri ve dunya capinda BookTok trend icerikleri.
Ays (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),877,9.2,Instagram,Kitap alintilari samimi okuma degerlendirmeleri ve nis BookTok ureticisi.
